,title,release_year,genres,description,channels
48,Something's Gotta Give,2003,['Romantic comedy'],"When aging womanizer Harry Sanborn (Jack Nicholson) and his young girlfriend, Marin (Amanda Peet), arrive at her family's beach house in the Hamptons, they find that her mother, dramatist Erica Barry (Diane Keaton), also plans to stay for the weekend. Erica is scandalized by the relationship and Harry's sexist ways. But when Harry has a heart attack, and a doctor (Keanu Reeves) prescribes bed rest at the Barry home, he finds himself falling for Erica -- who, for once, may be out of his league.",['609']
49,Critic's Choice,1963,['Comedy'],A Broadway critic (Bob Hope) shows up drunk and late on opening night to review a play written by his wife (Lucille Ball).,['064']
50,Critic's Choice,1963,['Comedy'],A Broadway critic (Bob Hope) shows up drunk and late on opening night to review a play written by his wife (Lucille Ball).,['631']
51,City Slickers,1991,['Comedy'],"Every year, three friends take a vacation away from their wives. This year, henpecked Phil (Daniel Stern), newly married Ed (Bruno Kirby), and Mitch (Billy Crystal) -- terrified of his midlife crisis -- decide to reignite their masculinity by taking a supervised cattle drive across the Southwest. Under the supervision of gruff cowboy Curly (Jack Palance), the men set out on a journey that turns unexpectedly dangerous. The three men bond along the way to conquering their fear of aging.",['515']
52,Armed and Dangerous,1986,['Comedy'],"A police officer who has been wrongly dismissed from his job, Frank Dooley (John Candy) finds work as a security guard, along with Norman Kane (Eugene Levy), an inept lawyer. Unfortunately, the company that employs Frank and Norman is involved in some shady dealings, and it's up to the bumbling guards to foil the plans of the corrupt leaders, most notably tough mobster Michael Carlino (Robert Loggia), who isn't happy to have his profitable scheme threatened.",['640']
53,Hellbound: Hellraiser II,1988,['Horror'],"Confined to a mental hospital, young Kirsty Cotton (Ashley Laurence) insists her supposedly dead father is stuck in hell, controlled by sadomasochistic demons after being betrayed by his evil, occult-obsessed wife, Julia (Clare Higgins). Few believe Kirsty, except the thrill-seeking Dr. Channard (Kenneth Cranham), who is intrigued by S&M and the young woman's lurid stories. So when Kirsty and fellow patient Tiffany (Imogen Boorman) head to hell for a rescue, Channard and Julia are close behind.",['606']
54,How High,2001,['Comedy'],"Multi-platinum rap superstars Redman and Method Man star as Jamal and Silas, two regular guys who smoke something magical, ace their college entrance exams and wind up at Harvard. Ivy League ways are strange but Silas and Jamal take it in a stride -- until their supply of supernatural smoke runs dry. That's when they have to start living by their wits and rely on their natural resources to make the grade.",['586']
55,El soldado de la mafia: Mercenario,2020,['Action'],"Grupos armados intentan matar a todo aquel que intente entrar a su territorio, pero un soldado valiente decide enfrentarlos y quedarse con el imperio.",['972']
56,It Happened in Flatbush,1942,['Drama'],"Baseball manager Frank Maguire (Lloyd Nolan) returns to Brooklyn, N.Y., to manage the team he left seven years earlier, after his crucial mistake at shortstop cost them the championship. In the face of misgivings by new owner Kathryn Baker (Carole Landis) and her crusty right-hand man, Sam Sloan (William Frawley), as well as the public jeering of newspaper writer Danny Mitchell (Robert Armstrong), Maguire and his new pitching phenom, Roy Collins (George Holmes), try to turn the team around.",['083']
57,It Happened in Flatbush,1942,['Drama'],"Baseball manager Frank Maguire (Lloyd Nolan) returns to Brooklyn, N.Y., to manage the team he left seven years earlier, after his crucial mistake at shortstop cost them the championship. In the face of misgivings by new owner Kathryn Baker (Carole Landis) and her crusty right-hand man, Sam Sloan (William Frawley), as well as the public jeering of newspaper writer Danny Mitchell (Robert Armstrong), Maguire and his new pitching phenom, Roy Collins (George Holmes), try to turn the team around.",['632']
58,La ilegítima,1955,['Drama'],Una joven es testigo de la infidelidad de su padre y le reprocha que engañe a su pobre madre paralítica.,['890']
59,Terrorismo en Texas,2016,['Action'],"Un grupo de terroristas siembran pánico en el estado de Texas, secuestrando y matando para conseguir dinero y así sacar a su jefe de la cárcel.",['983']
60,Police Academy 6: City Under Siege,1989,['Comedy'],"Clownish police officers (Bubba Smith, David Graf, Michael Winslow) are on the lookout for a three-ring circus of thieves.",['538']
61,Stratton,2017,"['Action', 'Thriller']","After the death of his American counterpart, an MI6 agent and his team must race against time to stop a madman from unleashing stolen chemical weapons.",['621']
62,The Collection,2012,"['Horror', 'Thriller']","A young woman named Elena (Emma Fitzpatrick) sneaks out of her house one night to attend an exclusive party, unaware of the horror that awaits her. A sick criminal known as The Collector crashes the party in search of fresh victims. When Elena goes into hiding, she finds and frees Arkin (Josh Stewart), The Collector's captive. Arkin manages to escape, but Elena is taken prisoner. A mercenary friend of Elena's father then forces Arkin to come along on a mission to free the young woman.",['539']
63,A Most Violent Year,2014,"['Crime drama', 'Thriller']","In 1981 New York, a fuel supplier (Oscar Isaac) tries to adhere to his own moral compass amid the rampant violence, corruption and decay that threaten his family and his business.",['554']
64,Fame,2009,"['Drama', 'Musical']","At New York's High School of Performing Arts, students (Asher Book, Kristy Flores, Paul Iacono) from all walks of life get the chance to hone their skills as singers, actors, dancers and more. Over four years, these young men and women will see if they truly have the dedication and talent to achieve success, while still juggling regular schoolwork, feelings of self-doubt and budding romances.",['535']
65,Round of Your Life,2019,['Drama'],"When a car accident leaves his father in a coma, a 15-year-old prodigy joins his high school golf team to try and win the state title for his dad.",['558']
66,Estar o no estar,2015,"['Drama', 'Romance']","Augusto pierde a su padre y se convierte en el compañero de su madre hasta que ella muere. Entonces se muda a Tlacotalpan y por primera vez se fija en las mujeres. Allí conoce a una joven ucraniana con la que inicia una amistad. Juntos pasan los días mientras ella espera junto al río a su novio. El día en el que él le pide una oportunidad, el novio regresa y se la lleva con él. Años más tarde, Augusto enferma y ahora en su delirante agonía no discierne entre la fantasía y la realidad.",['971']
67,Benny & Joon,1993,['Romantic comedy'],El hermano de una joven con problemas mentales se preocupa cuando el excéntrico recién llegado y su hermana se enamoran.,['536']
68,Benny & Joon,1993,['Romantic comedy'],"Benny (Aidan Quinn), who cares for his mentally disturbed sister, Joon (Mary Stuart Masterson), also welcomes the eccentric Sam (Johnny Depp) into his home at Joon's request. Sam entertains Joon while he dreams of a job at the video store. Once Benny realizes Joon and Sam have started a relationship, he kicks Sam out of the house. This leads to an altercation between brother and sister. Joon runs away with Sam, who soon realizes that she may need more support than he alone can provide.",['531']
69,The Dead Don't Die,2019,"['Dark comedy', 'Horror']","In the sleepy small town of Centerville, something is not quite right. The moon hangs large and low in the sky, the hours of daylight are becoming unpredictable, and animals are beginning to exhibit unusual behaviors. News reports are scary, and scientists are concerned. But no one foresees the strangest and most dangerous repercussion that will soon start plaguing Centerville: the dead rise from their graves and feast on the living, and the citizens must battle for their survival.",['523']
70,Phantom Boy,2015,"['Fantasy', 'Adventure', 'Comedy', 'Animated']","In New York, a courageous detective named Alex is injured by a gangster who calls himself the Man With the Broken Face. Stuck in a hospital, Alex meets Leo, a bedridden 11-year-old who has the ability to leave his body and float around as an apparition. Like a ghost, invisible to all, he flies away and passes through walls. When the disfigured criminal threatens to attack the city's infrastructure, Leo springs into action to help the lawman foil his evil plan.",['620']
71,A media luz,1947,['Drama'],Un cantante de tango se enreda con varias mujeres; los problemas surgen cuando una queda embarazada y otra muere.,['979']
72,Funny Farm,1988,['Comedy'],"Former sportswriter Andy Farmer (Chevy Chase) and his secretly aspiring author wife, Elizabeth (Madolyn Smith), move to a small farm in Vermont so Andy can focus on writing a novel. They quickly realize that the locals are not as welcoming as they'd like and that the farm is more distracting than inspiring. Having trouble with his manuscript, and with his marriage on the rocks, Andy is forced to take hilariously drastic measures in an attempt to get his life back on track.",['521']
73,Mac,1992,['Drama'],"Mac (John Turturro) has always wanted to start his own construction business. But it's only after he and his two brothers, Vico (Michael Badalucco) and Bruno (Carl Capotorto), quit working for a bad boss (Olek Krupa) that he plunges in. The memory of his hardworking, recently deceased dad (Joe Paparone) also resonates strongly with Mac. He wants to build houses, but he wants to do it the right way, just like his pop. His ideals, though, threaten to destroy his relationship with his brothers.",['585']
74,Shaft,2019,"['Action', 'Comedy']","John Shaft Jr. may be an FBI cyber security expert, but to uncover the truth behind his best friend's untimely death, he needs an education that only his dad can provide. Absent throughout his childhood, the legendary John Shaft agrees to help his son navigate the heroin-infested underbelly of Harlem, N.Y. Besides, the locked and loaded Shaft has his own score to settle -- both professional and personal.",['540']
75,The Best Exotic Marigold Hotel,2011,['Comedy drama'],"Un grupo de ancianos ingleses decide disfrutar de su jubilación en Bangalore, una exótica población de la India, pero las diferencias culturales se pondrán de manifiesto y les crearán todo tipo de problemas.",['517']
76,The Best Exotic Marigold Hotel,2011,['Comedy drama'],"Some British retirees (Judi Dench, Maggie Smith, Bill Nighy) decide to outsource their retirement to exotic -- and less expensive -- India. Lured by advertisements for the newly restored Marigold Hotel and imagining a life of leisure in lush surroundings, they arrive and find that the Marigold is actually a shell of its former self. Though their new home is not quite what they had imagined, the retirees find that life and love can begin again when they let go of their pasts.",['511']
77,Mi caballo el Cantador,1979,['Drama'],Un cura se disfraza de ranchero para atrapar a los bandidos que amenazan con lastimar a su familia y sus propiedades.,['980']
78,The Star Packer,1934,['Western'],"Loner U.S. Marshal John Travers (John Wayne) foils the hold-up of a stagecoach, rescuing young woman Anita Matlock (Verna Hillie) from the clutches of the crooks and helping her back to town. But there, the sheriff is gunned down by bandits, so Travers starts investigating and connects the murder to a gang, led by an unidentified bandit known as the Shadow, who's been running the town ragged for some time. Travers then makes it his mission to restore order to the town and bring down the Shadow.",['607']
79,The Animal,2001,['Comedy'],"Marvin (Rob Schneider) is a man who doesn't have what it takes to fulfill his lifelong dream to be a cop. But his luck changes when he's critically injured in a car accident and a deranged scientist secretly uses animal organs to rebuild him. Energized by his new parts, Marvin leaves his weakness behind and achieves instant fame as a supercop. Now a hero, life is going great for Marvin until his animal instincts start taking over his body at all the wrong times.",['605']
80,Jeepers Creepers 2,2003,"['Horror', 'Thriller']","After his son is set upon by a scarecrow that seems to have come alive, farmer Jack Taggart Sr. (Ray Wise) and his son, Jack Taggart Jr. (Luke Edwards), go looking for an explanation. Meanwhile, a bus carrying high-school students breaks down nearby, and a creature known as the Creeper (Jonathan Breck) starts a killing spree. The elder Taggart soon realizes that the killings and the attack on his son are connected, and, after alerting the community to be on guard, he aims to pummel the Creeper.",['520']
81,'71,2014,"['Action', 'Thriller']",A young British soldier (Jack O'Connell) must find his way back to safety after his unit accidentally abandons him during a riot in the streets of Belfast.,['597']
82,Besos de azúcar,2013,['Drama'],"Nacho es un niño que intenta sobrevivir los primeros años de su adolescencia refugiado bailando en una máquina. Su vida cambia drásticamente cuando conoce a Mayra, la hija de una poderosa y temible mujer que lidera a los vendedores callejeros.",['982']
83,Alpha and Omega: Journey to Bear Kingdom,2017,"['Adventure', 'Animated', 'Children']","Stinky, Runt and Claudette spring into action when rogue wolves threaten the royal bears. With courage, wits and help from their wild friends, the alpha and omega wolves rise to protect the queen and princess and save their forest home.",['514']
84,Jiminy Glick in Lalawood,2004,['Comedy'],"A celebrity interviewer (Martin Short) and his wife (Jan Hooks) become tangled in a murder mystery involving a boozy actress, her family and her publicist.",['537']
85,Los días de la ballena,2019,['Drama'],"La historia de Cristina y Simón, dos jóvenes grafiteros y muralistas de Medellín, de espirítu salvaje, que desafían la violencia de la ciudad.",['524']
86,De-Lovely,2004,"['Musical', 'Biography', 'Drama']","At the staging of a musical production based on his life story, songwriter Cole Porter (Kevin Kline) begins to reflect on his life and career. As he trades notes with the play's director, Gabe (Jonathan Pryce), Porter recollects his meteoric rise on Broadway during the mid-1920s and his first meeting with wife and muse Linda Thomas (Ashley Judd). He also recalls his many extramarital, homosexual dalliances, and the deep depression and seclusion of his final years.",['595']
87,Vacancy,2007,['Thriller'],"When David (Luke Wilson) and Amy's (Kate Beckinsale) car breaks down, they have little choice but to spend the night at a remote hotel. The couple entertain themselves by watching low-budget slasher movies on TV -- until they realize that the horrifying images they see were recorded in the room in which they are staying. With hidden cameras capturing their every move, David and Amy must find a way out before they become the latest stars in another film in the series of snuff films.",['581']
88,Smart People,2008,"['Romantic comedy', 'Drama']","Acerbic, selfish and widowed, literature professor Lawrence Wetherhold (Dennis Quaid) is estranged from his son and his overachieving teenage daughter. Just as he begins a relationship with a former student (Sarah Jessica Parker), Lawrence's ne'er-do-well adoptive brother (Thomas Haden Church) lands on his doorstep. Lawrence realizes he must make some changes in his life and reconnect with his children in order to get on with his life.",['582']
89,Problem Child,1990,['Comedy'],"Ben (John Ritter) is a good-hearted guy who's always wanted a son of his own, but so far he and his wife have had no success. The couple adopt Junior (Michael Oliver), a redheaded hellion who quickly makes their lives miserable. Disaster follows Junior wherever he goes, from camping trips that require emergency-room visits to birthday parties that turn into Grand Guignol affairs. When Ben's incensed family tells him to get rid of the boy, he starts to wonder if they might be right.",['553']
90,Forsaken,2015,"['Western', 'Drama']","In 1872 Wyoming, a former gunslinger (Kiefer Sutherland) and his estranged father (Donald Sutherland) encounter a ruthless businessman (Brian Cox) and his gang of thugs.",['572']
91,Barely Lethal,2015,"['Action', 'Comedy']","Seeking a normal adolescence, a special-operations agent (Hailee Steinfeld) fakes her own death and enrolls in high school as an exchange student.",['571']
92,Born Free: A New Adventure,1996,['Drama'],"Two American teens (Jonathan Brandis, Ariana Richards) in Africa try to teach a lion cub one raised to survive in the wild.",['584']
93,The Whole Ten Yards,2004,['Comedy'],"After faking his death, former killer-for-hire Jimmy ""The Tulip"" Tudeski (Bruce Willis) retires to Mexico with his new wife, Jill (Amanda Peet), while his ex-wife, Cynthia (Natasha Henstridge), settles down in California with Nicholas ""Oz"" Oseransky (Matthew Perry), Jimmy's old neighbor. The peaceful lives of both couples are interrupted, however, when Gogolak (Kevin Pollak), a member of the Hungarian Mafia and a former associate of Jimmy's, seeks revenge by kidnapping Cynthia.",['519']
94,Maria Full of Grace,2004,['Drama'],"Seventeen-year-old Colombian Maria (Catalina Sandino Moreno) is desperate: pregnant and with a large family to care for, she's forced to leave a demanding job after an altercation with her boss. Needing work as soon as possible, she encounters charming Franklin (John Álex Toro), who offers her a dangerous job as a drug mule. With cocaine pellets in her stomach, Maria flies to New York for the drug drop-off, but finds her new line of work may be far riskier than it initially seemed.",['518']
95,The Hanoi Hilton,1987,['Drama'],"U.S. prisoners of war (Michael Moriarty, Jeffrey Jones, Paul Le Mat) suffer torture and propaganda at an infamous prison in North Vietnam.",['599']
